=== cell 100 lat=0.025641 (samples=116) ===
tick,temp,t30,t365,seas_off,sea_ice,baseline,baseline_year
3305,0.32078,0.331887,0.256052,-0.024399,1,0.345179,0.542533
3307,0.320633,0.331887,0.256052,-0.024399,0,0.345179,0.542533
3309,0.320633,0.331887,0.256052,-0.024399,0,0.345179,0.542533
3311,0.320633,0.331887,0.256052,-0.024399,0,0.345179,0.542533
3313,0.320633,0.331887,0.256052,-0.024399,0,0.345179,0.542533
3315,0.554905,0.339321,0.256871,0.209726,0,0.345179,0.542533
3317,0.554758,0.339321,0.256871,0.209726,0,0.345179,0.542533
3319,0.554758,0.339321,0.256871,0.209726,0,0.345179,0.542533
3321,0.554758,0.339321,0.256871,0.209726,0,0.345179,0.542533
3323,0.53904,0.345978,0.257644,0.193861,0,0.345179,0.542533
3325,0.538893,0.345978,0.257644,0.193861,0,0.345179,0.542533
3327,0.538893,0.345978,0.257644,0.193861,0,0.345179,0.542533
3329,0.538893,0.345978,0.257644,0.193861,0,0.345179,0.542533
3331,0.538893,0.345978,0.257644,0.193861,0,0.345179,0.542533
3333,0.209396,0.341425,0.257512,-0.135783,0,0.345179,0.542533
3335,0.209249,0.341425,0.257512,-0.135783,0,0.345179,0.542533
3337,0.209249,0.341425,0.257512,-0.135783,0,0.345179,0.542533
3339,0.209249,0.341425,0.257512,-0.135783,0,0.345179,0.542533
3341,0.109974,0.33371,0.257108,-0.235205,0,0.345179,0.542533
3343,0.109827,0.33371,0.257108,-0.235205,1,0.345179,0.542533
3345,0.109827,0.33371,0.257108,-0.235205,1,0.345179,0.542533
3347,0.109827,0.33371,0.257108,-0.235205,1,0.345179,0.542533
3349,0.109827,0.33371,0.257108,-0.235205,1,0.345179,0.542533
3351,0.317838,0.333181,0.257274,-0.027341,1,0.345179,0.542533
3353,0.317691,0.333181,0.257274,-0.027341,1,0.345179,0.542533
3355,0.317691,0.333181,0.257274,-0.027341,0,0.345179,0.542533
3357,0.317691,0.333181,0.257274,-0.027341,0,0.345179,0.542533
3359,0.554905,0.340572,0.25809,0.209726,0,0.345179,0.542533
3361,0.554758,0.340572,0.25809,0.209726,0,0.345179,0.542533
3363,0.554758,0.340572,0.25809,0.209726,0,0.345179,0.542533
3365,0.554758,0.340572,0.25809,0.209726,0,0.345179,0.542533
3367,0.554758,0.340572,0.25809,0.209726,0,0.345179,0.542533
3369,0.542223,0.347294,0.258868,0.197044,0,0.345179,0.542533
=== cell 1000 lat=0.410256 (samples=116) ===
tick,temp,t30,t365,seas_off,sea_ice,baseline,baseline_year
3255,0.153351,0.246274,0.205098,-0.099601,0,0.252952,0.952811
3257,0.153351,0.246274,0.205098,-0.099601,0,0.252952,0.952811
3259,0.153351,0.246274,0.205098,-0.099601,0,0.252952,0.952811
3261,0.177752,0.247651,0.205324,0.034637,0,0.252952,0.952811
3263,0.177752,0.247651,0.205324,0.034637,0,0.252952,0.952811
3265,0.177752,0.247651,0.205324,0.034637,0,0.252952,0.952811
3267,0.177752,0.247651,0.205324,0.034637,0,0.252952,0.952811
3269,0.317294,0.249972,0.205631,0.064342,0,0.252952,0.952811
3271,0.095597,0.249972,0.205631,0.064342,0,0.252952,0.952811
3273,0.095597,0.249972,0.205631,0.064342,0,0.252952,0.952811
3275,0.095597,0.249972,0.205631,0.064342,0,0.252952,0.952811
3277,0.095597,0.249972,0.205631,0.064342,0,0.252952,0.952811
3279,0.205711,0.252216,0.205937,0.064342,0,0.252952,0.952811
3281,0.205711,0.252216,0.205937,0.064342,0,0.252952,0.952811
3283,0.095597,0.252216,0.205937,0.064342,0,0.252952,0.952811
3285,0.095597,0.252216,0.205937,0.064342,0,0.252952,0.952811
3287,0.100224,0.250823,0.205949,-0.042534,0,0.252952,0.952811
3289,0.100224,0.250823,0.205949,-0.042534,0,0.252952,0.952811
3291,0.100224,0.250823,0.205949,-0.042534,0,0.252952,0.952811
3293,0.100224,0.250823,0.205949,-0.042534,0,0.252952,0.952811
3295,0.100224,0.250823,0.205949,-0.042534,0,0.252952,0.952811
3297,0.129461,0.246778,0.20574,-0.12349,0,0.252952,0.952811
3299,0.129461,0.246778,0.20574,-0.12349,0,0.252952,0.952811
3301,0.129461,0.246778,0.20574,-0.12349,0,0.252952,0.952811
3303,0.129461,0.246778,0.20574,-0.12349,0,0.252952,0.952811
3305,0.288138,0.248156,0.205965,0.035187,0,0.252952,0.952811
3307,0.067062,0.248156,0.205965,0.035187,0,0.252952,0.952811
3309,0.067062,0.248156,0.205965,0.035187,0,0.252952,0.952811
3311,0.067062,0.248156,0.205965,0.035187,0,0.252952,0.952811
3313,0.067062,0.248156,0.205965,0.035187,0,0.252952,0.952811
3315,0.20565,0.250461,0.20627,0.064342,0,0.252952,0.952811
3317,0.095421,0.250461,0.20627,0.064342,0,0.252952,0.952811
3319,0.095421,0.250461,0.20627,0.064342,0,0.252952,0.952811
3321,0.095421,0.250461,0.20627,0.064342,0,0.252952,0.952811
